Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
threaded,strong,1,16777216,262144,200.621,17230.7
streamed,weak,1,16777216,262144,3.78602,17204.5
streamed,weak,1,16777216,262144,3.42834,17203.4
streamed,weak,1,16777216,262144,3.48488,17209.5
streamed,weak,1,16777216,262144,3.77964,17239.5
streamed,weak,1,16777216,262144,23.7495,17215.6
streamed,weak,1,16777216,262144,25.0223,17252
threaded,weak,1,16777216,262144,116.594,17188.9
threaded,weak,1,16777216,262144,115.876,17244.8
threaded,weak,1,16777216,262144,124.721,17230.6
threaded,weak,1,16777216,262144,118.79,17210.9
threaded,weak,1,16777216,262144,197.77,17216.3
threaded,weak,1,16777216,262144,208.096,17269.9
streamed,strong,1,67108864,262144,3.3986,68805.4
streamed,strong,1,67108864,262144,3.79529,68808.8
streamed,strong,1,67108864,262144,3.77078,68823.9
streamed,strong,1,67108864,262144,3.78421,68804.5
streamed,strong,1,67108864,262144,24.3345,68870
streamed,strong,1,67108864,262144,25.172,68965.8
threaded,strong,1,67108864,262144,118.507,68804.8
threaded,strong,1,67108864,262144,119.881,68835
threaded,strong,1,67108864,262144,120.003,68819
threaded,strong,1,67108864,262144,123.611,68835.2
threaded,strong,1,67108864,262144,193.765,68832.9
threaded,strong,1,67108864,262144,206.864,68965.4
streamed,weak,1,67108864,262144,3.81606,68796.1
streamed,weak,1,67108864,262144,3.80487,68803.1
streamed,weak,1,67108864,262144,3.81422,68809.5
streamed,weak,1,67108864,262144,3.85354,68864.4
streamed,weak,1,67108864,262144,24.3791,68853.4
streamed,weak,1,67108864,262144,25.066,68940.3
threaded,weak,1,67108864,262144,122.581,68806.9
threaded,weak,1,67108864,262144,121.167,68818.7
threaded,weak,1,67108864,262144,120.234,68817.2
threaded,weak,1,67108864,262144,120.149,68832.5
threaded,weak,1,67108864,262144,196.032,68877.2
threaded,weak,1,67108864,262144,209.224,68977.6
streamed,strong,2,262144,262144,4.76507,153.726
streamed,strong,2,262144,262144,4.50786,139.882
streamed,strong,2,262144,262144,4.39701,134.489
streamed,strong,2,262144,262144,4.41353,134.491
streamed,strong,2,262144,262144,24.9187,134.107
streamed,strong,2,262144,262144,25.8364,135.28
threaded,strong,2,262144,262144,203.228,151.591
threaded,strong,2,262144,262144,186.771,138.591
threaded,strong,2,262144,262144,186.081,132.498
threaded,strong,2,262144,262144,183.427,133.138
threaded,strong,2,262144,262144,266.999,132.538
threaded,strong,2,262144,262144,326.455,135.391
streamed,weak,2,524288,262144,4.42333,267.603
streamed,weak,2,524288,262144,4.38741,267.998
streamed,weak,2,524288,262144,4.36596,267.865
streamed,weak,2,524288,262144,4.38406,268.541
streamed,weak,2,524288,262144,25.0176,268.531
streamed,weak,2,524288,262144,25.8049,270.6
threaded,weak,2,524288,262144,186.926,266.189
threaded,weak,2,524288,262144,183.432,267.203
threaded,weak,2,524288,262144,181.207,267.629
threaded,weak,2,524288,262144,183.045,267.29
threaded,weak,2,524288,262144,270.182,267.416
threaded,weak,2,524288,262144,302.15,269.791
streamed,strong,2,1048576,262144,4.37742,538.438
streamed,strong,2,1048576,262144,4.3803,539.296
streamed,strong,2,1048576,262144,4.40481,540.589
streamed,strong,2,1048576,262144,4.35013,539.647
streamed,strong,2,1048576,262144,24.8943,540.215
streamed,strong,2,1048576,262144,26.0078,542.863
threaded,strong,2,1048576,262144,188.571,569.845
threaded,strong,2,1048576,262144,183.711,534.008
threaded,strong,2,1048576,262144,204.706,535.543
threaded,strong,2,1048576,262144,184.63,533.4
threaded,strong,2,1048576,262144,263.484,534.934
threaded,strong,2,1048576,262144,308.923,537.262
streamed,weak,2,2097152,262144,4.72496,1101.96
streamed,weak,2,2097152,262144,4.36785,1079.61
streamed,weak,2,2097152,262144,4.32266,1080.46
streamed,weak,2,2097152,262144,4.35574,1079.73
streamed,weak,2,2097152,262144,24.9468,1082.26
streamed,weak,2,2097152,262144,26.0481,1087.6
threaded,weak,2,2097152,262144,187.269,1069.66
threaded,weak,2,2097152,262144,188.744,1076.54
threaded,weak,2,2097152,262144,181.197,1073.4
threaded,weak,2,2097152,262144,186.351,1076.03
threaded,weak,2,2097152,262144,259.488,1075.01
threaded,weak,2,2097152,262144,291.944,1078.92
streamed,strong,2,16777216,262144,4.37185,8710.93
streamed,strong,2,16777216,262144,4.74651,8756.74
streamed,strong,2,16777216,262144,4.4557,8780.27
streamed,strong,2,16777216,262144,4.36597,8790.32
streamed,strong,2,16777216,262144,25.0946,8725.54
streamed,strong,2,16777216,262144,26.4267,8770.12
threaded,strong,2,16777216,262144,183.021,8615.08
threaded,strong,2,16777216,262144,183.674,8618.01
threaded,strong,2,16777216,262144,179.923,8647.81
threaded,strong,2,16777216,262144,181.01,8668.31
threaded,strong,2,16777216,262144,261.48,8704.8
threaded,strong,2,16777216,262144,309.466,8691.47
streamed,weak,2,33554432,262144,4.32345,17519.1
streamed,weak,2,33554432,262144,4.73366,17585.2
