Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
streamed,strong,1,1048576,262144,8.08304,2672.86
streamed,strong,1,1048576,262144,8.03473,2669.04
streamed,strong,1,1048576,262144,8.1123,2671.34
streamed,strong,1,1048576,262144,8.11982,2673.45
streamed,strong,1,1048576,262144,8.16157,2674.11
streamed,strong,1,1048576,262144,8.18031,2672.23
streamed,strong,1,1048576,262144,8.0928,2673.05
streamed,strong,1,1048576,262144,8.14826,2674.9
streamed,strong,1,1048576,262144,8.13951,2672.45
streamed,strong,1,1048576,262144,28.8863,2674.37
streamed,strong,1,1048576,262144,8.94198,2689.52
streamed,strong,1,1048576,262144,8.0785,2669.02
streamed,strong,1,1048576,262144,8.17502,2673.34
streamed,strong,1,1048576,262144,8.21627,2672.99
streamed,strong,1,1048576,262144,8.08898,2671.8
streamed,strong,1,1048576,262144,8.20528,2668.62
streamed,strong,1,1048576,262144,8.41958,2669.08
streamed,strong,1,1048576,262144,8.12475,2668.95
streamed,strong,1,1048576,262144,8.0367,2608.07
streamed,strong,1,1048576,262144,8.07814,2672.82
streamed,strong,1,1048576,262144,8.50325,2672.84
streamed,strong,1,1048576,262144,8.03863,2688.9
streamed,strong,1,1048576,262144,28.7062,2672.93
streamed,strong,1,1048576,262144,8.98731,2695.44
streamed,strong,1,1048576,262144,8.49411,2677.63
streamed,strong,1,1048576,262144,8.06421,2675.07
streamed,strong,1,1048576,262144,8.0855,2669.05
streamed,strong,1,1048576,262144,8.05345,2669.33
streamed,strong,1,1048576,262144,8.09027,2668.03
streamed,strong,1,1048576,262144,8.06859,2606.1
streamed,strong,1,1048576,262144,8.51663,2672.06
streamed,strong,1,1048576,262144,8.09779,2672.54
streamed,strong,1,1048576,262144,8.10712,2672.66
streamed,strong,1,1048576,262144,8.13097,2672.32
streamed,strong,1,1048576,262144,8.05605,2673.2
streamed,strong,1,1048576,262144,28.5765,2672.33
streamed,strong,1,1048576,262144,8.84829,2692.69
streamed,strong,1,1048576,262144,8.06861,2674.35
streamed,strong,1,1048576,262144,8.06015,2673.99
streamed,strong,1,1048576,262144,8.19368,2676.34
streamed,strong,1,1048576,262144,8.0858,2670.41
streamed,strong,1,1048576,262144,8.19236,2670.51
streamed,strong,1,1048576,262144,8.19687,2669.88
streamed,strong,1,1048576,262144,8.11897,2670.2
streamed,strong,1,1048576,262144,8.21504,2675.62
streamed,strong,1,1048576,262144,7.92773,2673.72
streamed,strong,1,1048576,262144,8.05159,2674.42
streamed,strong,1,1048576,262144,8.1658,2673.39
streamed,strong,1,1048576,262144,28.7846,2676.67
streamed,strong,1,1048576,262144,8.87542,2690.71
streamed,strong,1,1048576,262144,8.0717,2669.92
