==48400== NVPROF is profiling process 48400, command: ./MonteCarlo --scaling=strong --method=threaded
==48400== Profiling application: ./MonteCarlo --scaling=strong --method=threaded
==48400== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
6.56310s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3601800000  [Unified Memory CPU page faults]
6.56316s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3621c00000  [Unified Memory CPU page faults]
6.56486s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3621e00000  [Unified Memory CPU page faults]
6.56664s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3601a00000  [Unified Memory CPU page faults]
6.56668s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3622000000  [Unified Memory CPU page faults]
6.56851s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3601c00000  [Unified Memory CPU page faults]
6.56857s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3622200000  [Unified Memory CPU page faults]
6.57034s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3601e00000  [Unified Memory CPU page faults]
6.57038s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3622400000  [Unified Memory CPU page faults]
6.57205s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3602000000  [Unified Memory CPU page faults]
6.57220s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3622600000  [Unified Memory CPU page faults]
6.57377s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3602200000  [Unified Memory CPU page faults]
6.57399s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3622800000  [Unified Memory CPU page faults]
6.57554s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3602400000  [Unified Memory CPU page faults]
6.57574s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3622a00000  [Unified Memory CPU page faults]
